activity	time	p	p_peak	p_smooth
Rollerblading	1530	3.88E-06	0.012169769	0.012169769
Golfing	1530	1.68E-05	0.007148072	0.007148072
Playing volleyball	1530	1.17E-05	0.024574726	0.016383151
Boating	1530	2.02E-05	0.029966049	0.029966049
Playing baseball	1530	0	0	0
Running	1535	0	0	0.018796424
Playing racquet sports	1535	0	0	0
Weightlifting/strength training	1535	2.58E-05	0.016104353	0.016883862
Hiking	1535	0	0	0
Biking	1535	2.71E-06	0.003269747	0.003269747
Walking	1535	8.09E-05	0.017491494	0.015805932
Using cardiovascular equipment	1535	1.59E-05	0.011911864	0.014434227
Participating in water sports	1535	2.61E-05	0.008153813	0.008153813
Playing basketball	1535	5.04E-06	0.002410454	0.002410454
"Working out, unspecified"	1535	1.05E-04	0.030151879	0.023601566
"Skiing, ice skating, snowboarding"	1535	0	0	0
Doing yoga	1535	0	0	0
Playing billiards	1535	1.77E-04	0.215346197	0.228420129
Fishing	1535	3.64E-05	0.021763583	0.022387577
Dancing	1535	3.81E-04	0.510978571	0.517368601
Playing football	1535	6.62E-06	0.006845926	0.006845926
Vehicle touring/racing	1535	2.47E-05	0.061639106	0.061639106
Softball	1535	0	0	0
Playing soccer	1535	0	0	0
Doing aerobics	1535	0	0	0
Hunting	1535	4.24E-05	0.038997475	0.038997475
Participating in martial arts	1535	0	0	0
Bowling	1535	5.33E-05	0.043204391	0.043204391
Rollerblading	1535	3.88E-06	0.012169769	0.012169769
Golfing	1535	1.68E-05	0.007148072	0.007148072
